ret_mean,ret_std,n
4.637914196321535e-05,5.2699115285861246e-05,10
3.713042699651226e-05,5.09859956198784e-05,10
3.477241903679928e-05,5.194066543720895e-05,10
3.4762756173156714e-05,5.194784166900428e-05,10
3.0780017873488497e-05,4.8940535651523614e-05,10
3.1591377997020054e-05,4.843822888672505e-05,10
2.9658973506108133e-05,4.935871418125455e-05,10
2.6857041138961257e-05,5.0249380315246065e-05,10
1.0809184204707556e-05,1.840064579808243e-05,10
3.678358470371457e-07,4.098300602324279e-05,10
-3.969511222845501e-06,3.8121131384733655e-05,10
-6.220270138534989e-06,3.8252456474478e-05,10
-5.659947346081662e-06,3.848208418328988e-05,10
6.782198607246936e-06,5.643964788488098e-05,10
4.1669720530768116e-07,5.495242653221254e-05,10
-3.946629182238759e-07,5.488601409427961e-05,10
-7.44573946788174e-06,5.919009504721503e-05,10
-3.4273083928337834e-06,6.108546920305468e-05,10
6.763254814112774e-06,6.960845333272855e-05,10
2.4206884176902753e-05,5.982078150097017e-05,10
2.4206884176902753e-05,5.982078150097017e-05,10
2.6042280431237685e-05,5.8639760750976874e-05,10
3.301481148958452e-05,6.0761052767662916e-05,10
1.9413842012527826e-05,5.2716793196695034e-05,10
2.106550526640438e-05,5.1715203985817247e-05,10
2.2224342219001603e-05,5.131903747748416e-05,10
2.8116595244931375e-05,4.20305394294036e-05,10
2.409816416988342e-05,4.266475450159872e-05,10
1.6099736194385984e-05,3.2844703199829434e-05,10
1.2091051982299206e-05,2.755200875501007e-05,10
1.1559945869810128e-05,2.786044177574063e-05,10
1.2091054803065049e-05,2.7665528161264354e-05,10
1.0052562512519181e-05,2.2270315852993488e-05,10
1.3036349626294186e-05,2.101200911438034e-05,10
1.4571608438107565e-05,2.0508505271349728e-05,10
1.1105090838769982e-05,2.374336184192748e-05,10
1.8057388593117896e-05,2.6391096671091354e-05,10
1.80670438241326e-05,2.638377295163736e-05,10
1.5894222793477742e-05,2.6928996926681334e-05,10
1.2890970771284316e-05,2.6863599770239106e-05,10
1.343173211385551e-05,2.65085644107964e-05,10
1.290062318060059e-05,2.6741523486682317e-05,10
1.4801924806229216e-05,3.0850448214477866e-05,10
1.722492489686367e-05,3.207839551735964e-05,10
9.935850610287566e-06,3.9883047810757744e-05,10
1.3653104071520427e-05,3.81593251234583e-05,10
1.8159302239584285e-06,4.114000414153829e-05,10
9.993762272408891e-06,4.827031307806821e-05,10
1.7408237067517706e-05,5.2121924506365226e-05,10
1.7215167775641582e-05,5.219749109719649e-05,10
1.837359429661678e-05,5.190307763152166e-05,10
2.5661953146438597e-05,5.410680175136955e-05,10
1.9221531332935804e-05,5.073186020849715e-05,10
1.571681842844619e-05,5.015388125340463e-05,10
2.1470633903208912e-05,4.370147417337419e-05,10
2.0331332089451593e-05,4.406212186664998e-05,10
2.6104761436129832e-05,3.519304586512466e-05,10
1.7917274156664664e-05,2.990309917896694e-05,10
1.337925231786885e-05,2.306799768324214e-05,10
1.942159242424024e-05,2.6274735123415655e-05,10
1.3823383336464267e-05,3.316715230926599e-05,10
5.125814799433748e-06,2.6739960001043293e-05,10
5.038867800677416e-06,2.670581584638824e-05,10
9.604283654418565e-06,3.075573408021824e-05,10
1.0887947621296412e-05,3.057770527399245e-05,10
1.5288995302942254e-05,3.2382646210874026e-05,10
1.609007244597338e-05,3.198475753795118e-05,10
1.609007244597338e-05,3.198475753795118e-05,10
1.2673160204346168e-05,3.2292500158735854e-05,10
7.36435149177872e-06,2.802195139606838e-05,10
1.606986421879286e-05,2.3314965176979312e-05,10
1.5983235521399576e-05,2.3440756639867676e-05,10
1.6069866735446413e-05,2.343459172779811e-05,10
1.2141231647422313e-05,1.950266785657125e-05,10
4.671637535225148e-06,3.0442721127029975e-05,10
3.188528441278038e-10,2.661860997897572e-05,10
-5.307749874861045e-06,3.045812969022319e-05,10
-5.307749874861045e-06,3.045812969022319e-05,10
-9.660602354188974e-06,3.3424148800216876e-05,10
-1.0191409226956161e-05,3.320142579217279e-05,10
-2.0113195017701368e-05,3.0321510293803496e-05,10
-2.329882471832079e-05,3.137490288632228e-05,10
-2.6956949283840625e-05,2.8411305458520338e-05,10
-3.152252763306551e-05,2.453844218625079e-05,10
-2.533659748774619e-05,2.3827875573901167e-05,10
-2.533659748774619e-05,2.3827875573901167e-05,10
-2.1312307046250643e-05,2.300161783535492e-05,10
-2.1312307046250643e-05,2.300161783535492e-05,10
-3.3963548419113644e-06,5.1410682838522106e-05,10
-3.3963548419113644e-06,5.1410682838522106e-05,10
1.2182256529524871e-05,5.685801129804433e-05,10
1.686372461474628e-05,5.3275081060800413e-05,10
1.9025988420007244e-05,5.1962101154160665e-05,10
2.2211535227323333e-05,4.9409994651412036e-05,10
3.128379091823508e-05,5.30717310236176e-05,10
2.6603317659656957e-05,5.797466049363266e-05,10
3.395751290525828e-05,5.782800996186514e-05,10
3.395751290525828e-05,5.782800996186514e-05,10
2.0925217235479022e-05,4.745186478770927e-05,10
2.0925217235479022e-05,4.745186478770927e-05,10
1.099300626449251e-05,3.883071388228234e-05,10
1.6126952563977337e-05,4.0570700160162696e-05,10
1.735247457123057e-05,4.021294439875237e-05,10
1.0993347757504157e-05,4.760966784002499e-05,10
7.055038366077237e-06,4.1521190922648064e-05,10
1.3163679003169726e-05,3.6959855231914946e-05,10
6.562455171010839e-06,3.203960873481516e-05,10
6.572104812785362e-06,3.203742711352863e-05,10
-5.769785822051787e-06,5.224814552913061e-05,10
-5.779436653985392e-06,5.224697026718795e-05,10
-5.7697858211192e-06,5.224816533612524e-05,10
-1.0903732120604027e-05,4.839316654119817e-05,10
-1.4667422926883944e-05,4.785244399376118e-05,10
-8.308296113157532e-06,4.475353901884402e-05,10
-1.611559071287294e-05,3.971846358786728e-05,10
-1.7553409426296353e-05,3.874410503135271e-05,10
-2.1935115898297218e-05,3.901511809963532e-05,10
-2.3933027843214828e-05,3.826591060124769e-05,10
-1.4004124873179258e-05,1.5969717220447342e-05,10
-4.472702651292515e-05,9.351193730645898e-05,10
-4.913942612860822e-05,9.219363025975742e-05,10
-4.9129770552669425e-05,9.219935341071203e-05,10
-4.659160175364274e-05,9.326892232489409e-05,10
-4.660125732866005e-05,9.326356789075282e-05,10
-4.831154050985997e-05,9.301523389342877e-05,10
-5.848896836651019e-05,9.272097198674387e-05,10
-5.4097604911496064e-05,9.451558814099078e-05,10
-4.233647675793151e-05,0.00010588047534734339,10
-3.9923489093129926e-05,0.00010661391790527902,10
-9.19093662145043e-06,5.0490797766046534e-05,10
-4.411602341269916e-06,4.9068839080429085e-05,10
4.684351997885639e-06,5.767355778060515e-05,10
4.684351997885639e-06,5.767355778060515e-05,10
4.6940075729029475e-06,5.767267651352046e-05,10
9.077639054333453e-06,5.518646957013287e-05,10
1.4572328529605105e-05,4.46400659749602e-05,10
1.925528145841904e-05,4.5402567000706826e-05,10
2.80395617699436e-05,6.606722408506607e-05,10
2.80395617699436e-05,6.606722408506607e-05,10
2.8029908438453875e-05,6.607178316486264e-05,10
2.198681680934955e-05,7.110917179652298e-05,10
1.2881206894255204e-05,6.699283697468726e-05,10
1.8557688016562768e-05,6.817459832564711e-05,10
2.9002592688953666e-05,7.285599196870079e-05,10
4.033442025984657e-05,7.656213232196136e-05,10
3.513429958127423e-05,8.450156443244156e-05,10
4.033517877873871e-05,8.687513838225219e-05,10
2.5069101928620885e-05,7.036146446143054e-05,10
2.177814092458874e-05,7.240425713173361e-05,10
2.2752917221424696e-05,7.214217965840418e-05,10
2.8419423353165384e-05,6.727211225254351e-05,10
2.8419423353165384e-05,6.727211225254351e-05,10
2.9460133240544194e-05,6.783746689035271e-05,10
1.1333439908067789e-05,6.976405272312456e-05,10
7.683991141371749e-06,6.4599709040932e-05,10
2.1726211490802337e-05,5.3087024250751386e-05,10
