ret_mean,ret_std,n
-8.371934906514777e-06,5.698206229710296e-05,10
-8.371934906514777e-06,5.698206229710296e-05,10
-2.095089300716557e-05,3.284826037284081e-05,10
-2.7052689990547663e-05,3.730148444468678e-05,10
-2.334898664499985e-05,4.1847709491201705e-05,10
-1.8603046020304603e-05,3.649097208317234e-05,10
-1.3382506733627952e-05,3.085105575627806e-05,10
-2.073206732956523e-05,3.583900942494988e-05,10
-5.442615605444345e-06,5.66236786843216e-05,10
-7.734411452731126e-06,5.685095069434368e-05,10
-1.663103418091394e-05,6.218355698554444e-05,10
-1.7714197633267316e-05,6.195559533711238e-05,10
-1.0015916854733131e-05,6.880532675615753e-05,10
-1.5973698720572748e-05,7.73513699136182e-05,10
-1.56055789755305e-05,7.763990374735411e-05,10
-2.2016036023697616e-06,8.477199214398657e-05,10
-1.3709497250824487e-05,9.504200387528651e-05,10
4.056561554899307e-06,9.900619055672695e-05,10
-8.796401633348605e-06,9.024870892745552e-05,10
-2.0353296155339872e-05,9.923751236446254e-05,10
-1.0808629750191922e-05,9.647738936250608e-05,10
4.386197684003168e-06,0.0001077772595683,10
-1.9945830414769276e-05,0.0001166663177181,10
6.302305779770645e-06,0.0001168998890922,10
3.874583269458664e-06,0.0001163565667334,10
4.125654560971359e-06,0.0001165823370602,10
1.389298099295777e-05,0.0001070837964135,10
-1.0342593085499452e-05,0.0001118716165265,10
-1.934711754340013e-05,0.0001152880909108,10
-8.129419782643143e-06,0.0001075869322908,10
-6.14640061037397e-06,0.0001080717597413,10
-2.2908396188348057e-05,9.488818170818998e-05,10
-6.2746488681098e-06,8.042939086529922e-05,10
-1.61596673277975e-05,6.748755664616503e-05,10
-2.4845524849648192e-05,6.840874502263045e-05,10
-3.480667876211152e-05,5.40293877985133e-05,10
